Symbol
JYOTHYLAB
KEI
KNRCON
KRBL
KSB
KAJARIACER
KALPATPOWR
KANSAINER
KTKBANK
KARURVYSYA
KSCL
KEC
KOLTEPATIL
KOTAKBANK
L&TFH
LTTS
LICHSGFIN
LAOPALA
LAXMIMACH
LTI
LT
LAURUSLABS
LEMONTREE
LINDEINDIA
LUPIN
LUXIND
MASFIN
MMTC
MOIL
MRF
MGL
MAHSCOOTER
MAHSEAMLES
M&MFIN
M&M
MAHINDCIE
MHRIL
MAHLOG
MANAPPURAM
MRPL
MARICO
MARUTI
MFSL
METROPOLIS
MINDTREE
MINDACORP
MINDAIND
MIDHANI
MOTHERSUMI
MOTILALOFS
MPHASIS
MCX
MUTHOOTFIN
NATCOPHARM
NBCC
NCC
NESCO
NHPC
NLCINDIA
NMDC
NOCIL
NTPC
NH
NATIONALUM
NFL
NAVINFLUOR
NAVNETEDUL
NESTLEIND
NETWORK18
NILKAMAL
NAM-INDIA
OBEROIRLTY
ONGC
OIL
OMAXE
OFSS
ORIENTCEM
ORIENTELEC
ORIENTREF
PIIND
PNBHOUSING
PNCINFRA
PSPPROJECT
PTC
PVR
PAGEIND
PERSISTENT
PETRONET
PFIZER
PHILIPCARB
PHOENIXLTD
PIDILITIND
PEL
POLYMED
POLYCAB
POLYPLEX
PFC
POWERGRID
PRAJIND
PRESTIGE
PRSMJOHNSN
PGHL
PGHH
PNB
QUESS
RBLBANK
RECLTD
RITES
RADICO
RVNL
RAIN
RAJESHEXPO
RALLIS
RCF
RATNAMANI
RAYMOND
REDINGTON
RELAXO
RELIANCE
SBICARD
SBILIFE
SIS
SJVN
SKFINDIA
SRF
SANOFI
SCHAEFFLER
SCHNEIDER
SEQUENT
SFL
SHILPAMED
SCI
SHOPERSTOP
SHREECEM
SHRIRAMCIT
SRTRANSFIN
SIEMENS
SOBHA
SOLARINDS
SOLARA
SONATSOFTW
SOUTHBANK
SPICEJET
STARCEMENT
SBIN
SAIL
SWSOLAR
STLTECH
STAR
SUDARSCHEM
SUMICHEM
SPARC
SUNPHARMA
SUNTV
SUNDARMFIN
SUNDRMFAST
SUNTECK
SUPRAJIT
SUPREMEIND
SUPPETRO
SUVENPHAR
SUZLON
SWANENERGY
SWARAJENG
SYMPHONY
SYNGENE
TCIEXP
TCNSBRANDS
TTKPRESTIG
TVTODAY
TV18BRDCST
TVSMOTOR
TASTYBITE
TATACHEM
TATACOFFEE
TATACOMM
TCS
TATACONSUM
TATAELXSI
TATAINVEST
TATAMTRDVR
TATAMOTORS
TATAPOWER
TATASTLBSL
TATASTEEL
TEAMLEASE
TECHM
NIACL
RAMCOCEM
THERMAX
THYROCARE
TIMKEN
TITAN
TORNTPHARM
TORNTPOWER
TRENT
TRIDENT
TIINDIA
UCOBANK
UFLEX
UPL
UJJIVAN
UJJIVANSFB
ULTRACEMCO
UNIONBANK
UBL
MCDOWELL-N
VGUARD
VMART
VIPIND
VRLLOG
VSTIND
VAIBHAVGBL
VAKRANGEE
VTL
VARROC
VBL
VENKEYS
VINATIORGA
IDEA
VOLTAS
WABCOINDIA
WELCORP
WELSPUNIND
WESTLIFE
WHIRLPOOL
WIPRO
WOCKPHARMA
YESBANK
ZEEL
ZENSARTECH
ZYDUSWELL
ECLERX
